id,kind,ring,col,u,v,horn,dir_x,dir_y,dir_z
"R1,L001",vertex,1,0,0.000000,0.000000,true,0,1,0
"R1,L002",vertex,1,1,0.041667,0.000000,true,0,1,0
"R1,L003",vertex,1,2,0.083333,0.000000,true,0,1,0
"R1,L004",vertex,1,3,0.125000,0.000000,true,0,1,0
"R1,L005",vertex,1,4,0.166667,0.000000,true,0,1,0
"R1,L006",vertex,1,5,0.208333,0.000000,true,0,1,0
"R1,L007",vertex,1,6,0.250000,0.000000,true,0,1,0
"R1,L008",vertex,1,7,0.291667,0.000000,true,0,1,0
"R1,L009",vertex,1,8,0.333333,0.000000,true,0,1,0
"R1,L010",vertex,1,9,0.375000,0.000000,true,0,1,0
"R1,L011",vertex,1,10,0.416667,0.000000,true,0,1,0
"R1,L012",vertex,1,11,0.458333,0.000000,true,0,1,0
"R1,L013",vertex,1,12,0.500000,0.000000,true,0,1,0
"R1,L014",vertex,1,13,0.541667,0.000000,true,0,1,0
"R1,L015",vertex,1,14,0.583333,0.000000,true,0,1,0
"R1,L016",vertex,1,15,0.625000,0.000000,true,0,1,0
"R1,L017",vertex,1,16,0.666667,0.000000,true,0,1,0
"R1,L018",vertex,1,17,0.708333,0.000000,true,0,1,0
"R1,L019",vertex,1,18,0.750000,0.000000,true,0,1,0
"R1,L020",vertex,1,19,0.791667,0.000000,true,0,1,0
"R1,L021",vertex,1,20,0.833333,0.000000,true,0,1,0
"R1,L022",vertex,1,21,0.875000,0.000000,true,0,1,0
"R1,L023",vertex,1,22,0.916667,0.000000,true,0,1,0
"R1,L024",vertex,1,23,0.958333,0.000000,true,0,1,0
"R2,L025",vertex,2,0,0.000000,0.083333,false,-0.000000000,-0.965925826,-0.258819045
"R2,L026",vertex,2,1,0.041667,0.083333,false,-0.066987298,-0.965925826,-0.250000000
"R2,L027",vertex,2,2,0.083333,0.083333,false,-0.129409523,-0.965925826,-0.224143868
"R2,L028",vertex,2,3,0.125000,0.083333,false,-0.183012702,-0.965925826,-0.183012702
"R2,L029",vertex,2,4,0.166667,0.083333,false,-0.224143868,-0.965925826,-0.129409523
"R2,L030",vertex,2,5,0.208333,0.083333,false,-0.250000000,-0.965925826,-0.066987298
"R2,L031",vertex,2,6,0.250000,0.083333,false,-0.258819045,-0.965925826,0.000000000
