source_row_number,scope_group,classification,source_country,source_country_name,ror_id,ror_name,ror_status,geonames_id,locality,subdivision_name,latitude,longitude,match_method
1,global_backlog,safe_active,AD,Andorra,https://ror.org/00w7mf142,University of Andorra,active,3039163,Sant Julià de Lòria,Sant Julià de Loria,42.46372,1.49129,safe_active_exact_name_site_agreement
38,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
39,global_backlog,review,AF,Afghanistan,,,,,,,,,held_review_site_only
40,global_backlog,safe_active,AF,Afghanistan,https://ror.org/04fe8b875,American University of Afghanistan,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_site_agreement
41,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
42,global_backlog,safe_active,AF,Afghanistan,https://ror.org/029sbsp57,Badakhshan University,active,1142170,Fayzabad,Badakhshan,37.11664,70.58002,safe_active_exact_name_site_agreement
43,global_backlog,safe_active,AF,Afghanistan,https://ror.org/04742pk47,Baghlan University,active,1130490,Pul-e Khumrī,Baghlan,35.94458,68.71512,safe_active_exact_name_only
44,global_backlog,safe_active,AF,Afghanistan,https://ror.org/05v7khz67,Bakhtar University,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_site_agreement
45,global_backlog,safe_active,AF,Afghanistan,https://ror.org/059zvbg42,Balkh University,active,1133616,Mazari Sharif,Balkh,36.70904,67.11087,safe_active_exact_name_site_agreement
46,global_backlog,review,AF,Afghanistan,,,,,,,,,held_review_site_only
47,global_backlog,safe_active,AF,Afghanistan,https://ror.org/04yk1tp18,Bost University,active,1134720,Lashkar Gah,Helmand,31.59382,64.37161,safe_active_exact_name_site_agreement
48,global_backlog,safe_active,AF,Afghanistan,https://ror.org/03eczrc37,Dawat University,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_site_agreement
49,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
50,global_backlog,safe_active,AF,Afghanistan,https://ror.org/05gk2b650,Faryab University,active,1133453,Maymana,Faryab,35.92139,64.78361,safe_active_exact_name_site_agreement
51,global_backlog,safe_active,AF,Afghanistan,https://ror.org/0075h8406,Ghazni University,active,1141269,Ghazni,Ghazni,33.55391,68.42096,safe_active_exact_name_site_agreement
52,global_backlog,safe_active,AF,Afghanistan,https://ror.org/050zs3956,Herat University,active,1140026,Herat,Herat,34.34817,62.19967,safe_active_exact_name_site_agreement
53,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
54,global_backlog,review,AF,Afghanistan,,,,,,,,,held_inactive_name_conflict
55,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
56,global_backlog,safe_active,AF,Afghanistan,https://ror.org/00jpzfk69,Kabul Education University,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_site_agreement
57,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
58,global_backlog,review,AF,Afghanistan,,,,,,,,,held_alias_without_clean_domain_agreement
59,global_backlog,safe_active,AF,Afghanistan,https://ror.org/02ht5pq60,Kabul University,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_site_agreement
60,global_backlog,safe_active,AF,Afghanistan,https://ror.org/0157yqb81,Kandahar University,active,1138336,Kandahar,Kandahar,31.61332,65.71013,safe_active_exact_name_only
61,global_backlog,safe_active,AF,Afghanistan,https://ror.org/04vts6h49,Kardan University,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_site_agreement
62,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
63,global_backlog,review,AF,Afghanistan,,,,,,,,,held_review_site_only
64,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
65,global_backlog,safe_active,AF,Afghanistan,https://ror.org/050k1mp73,Khurasan University,active,1139715,Jalalabad,Nangarhar,34.42647,70.45153,safe_active_exact_name_only
66,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
67,global_backlog,safe_active,AF,Afghanistan,https://ror.org/05n47cs30,Nangarhar University,active,1139715,Jalalabad,Nangarhar,34.42647,70.45153,safe_active_exact_name_site_agreement
68,global_backlog,unmatched,AF,Afghanistan,,,,,,,,,unmatched
69,global_backlog,safe_active,AF,Afghanistan,https://ror.org/02re2pw48,Paktia University,active,1141857,Gardez,Paktia,33.59744,69.22592,safe_active_exact_name_site_agreement
70,global_backlog,safe_active,AF,Afghanistan,https://ror.org/03xgsk889,Pamir University,active,1136469,Khōst,Khowst,33.33951,69.92041,safe_active_exact_name_only
71,global_backlog,safe_active,AF,Afghanistan,https://ror.org/02jkgrk30,Parwan University,active,1145352,Charikar,Parwan,35.01361,69.17139,safe_active_exact_name_site_agreement
72,global_backlog,safe_active,AF,Afghanistan,https://ror.org/0451w9n55,Polytechnical University of Kabul,active,1138958,Kabul,Kabul,34.52813,69.17233,safe_active_exact_name_only
