source_row_number,scope_group,classification,source_country,source_country_name,ror_id,ror_name,ror_status,geonames_id,locality,subdivision_name,latitude,longitude,match_method
2,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/01r3kjq03,Abu Dhabi University,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_site_agreement
3,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/01j1rma10,Ajman University,active,292932,Ajman,Ajman,25.40177,55.47878,safe_active_exact_name_site_agreement
4,fta_partner,unmatched,AE,United Arab Emirates,,,,,,,,,unmatched
5,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/05y8x6h30,Al Ghurair University,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
6,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/00fkbtp02,Alhosn University,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_site_agreement
7,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/04s2w8b69,Al Khawarizmi International College,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_only
8,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/0352adn16,American College of Dubai,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_only
9,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/0540vvc38,American University in Dubai,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
10,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/056c6h780,American University in the Emirates,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
11,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/001g2fj96,American University of Sharjah,active,292672,Sharjah,Sharjah,25.33737,55.41206,safe_active_exact_name_site_agreement
12,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/00mc18523,British University in Dubai,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
13,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/05nydfs77,Dubai Medical College,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
14,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/013aq5m10,Dubai Pharmacy College,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
15,fta_partner,unmatched,AE,United Arab Emirates,,,,,,,,,unmatched
16,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/02kaerj47,Gulf Medical University,active,292932,Ajman,Ajman,25.40177,55.47878,safe_active_exact_name_site_agreement
17,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held-alias-without-clean-domain-agreement
18,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/00qmy9z88,Higher Colleges of Technology,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_site_agreement
19,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/01hd68v37,Ittihad University,active,291074,Ras al-Khaimah,Raʼs al Khaymah,25.78953,55.9432,safe_active_exact_name_only
20,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/0574he388,Jumeira University,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
21,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held-alias-without-clean-domain-agreement
22,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held_review_site_only
23,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held_review_site_only
24,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/00e5k0821,New York University Abu Dhabi,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_site_agreement
25,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/03e1ymy32,Sorbonne University Abu Dhabi,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_site_agreement
26,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held_review_site_only
27,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/03zmfa837,Rochester Institute of Technology - Dubai,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_only
28,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held_review_site_only
29,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held_review_site_only
30,fta_partner,unmatched,AE,United Arab Emirates,,,,,,,,,unmatched
31,fta_partner,unmatched,AE,United Arab Emirates,,,,,,,,,unmatched
32,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/01km6p862,United Arab Emirates University,active,292913,Al Ain,Abu Dhabi,24.19167,55.76056,safe_active_exact_name_site_agreement
33,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/05h0z7c09,University of Dubai,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_site_agreement
34,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/002mja273,University of Jazeera,active,292223,Dubai,Dubai,25.07725,55.30927,safe_active_exact_name_only
35,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/00engpz63,University of Sharjah,active,292672,Sharjah,Sharjah,25.33737,55.41206,safe_active_exact_name_site_agreement
36,fta_partner,review,AE,United Arab Emirates,,,,,,,,,held_review_site_only
37,fta_partner,safe_active,AE,United Arab Emirates,https://ror.org/03snqfa66,Zayed University,active,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,safe_active_exact_name_site_agreement
209,eu_framework,safe_active,AT,Austria,https://ror.org/029djt864,Akademie der bildenden Künste Wien,active,2761369,Vienna,Vienna,48.20849,16.37208,safe_active_exact_name_site_agreement
210,eu_framework,safe_active,AT,Austria,https://ror.org/03ef4a036,Universität für Weiterbildung Krems,active,2773549,Krems,Lower Austria,48.40921,15.61415,safe_active_exact_name_site_agreement
211,eu_framework,safe_active,AT,Austria,https://ror.org/00t6gnv18,University of Applied Sciences Burgenland,active,2780190,Eisenstadt,Burgenland,47.84565,16.52327,safe_active_exact_name_site_agreement
212,eu_framework,review,AT,Austria,,,,,,,,,held_review_site_only
213,eu_framework,review,AT,Austria,,,,,,,,,held_review_site_only
214,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
215,eu_framework,review,AT,Austria,,,,,,,,,held_review_site_only
216,eu_framework,review,AT,Austria,,,,,,,,,held_review_site_only
217,eu_framework,safe_active,AT,Austria,https://ror.org/0072dxg89,Fachhochschule Salzburg,active,2766824,Salzburg,Salzburg,47.79941,13.04399,safe_active_exact_name_only
218,eu_framework,review,AT,Austria,,,,,,,,,held-alias-without-clean-domain-agreement
219,eu_framework,safe_active,AT,Austria,https://ror.org/031wyx077,Vorarlberg University of Applied Sciences,active,2780741,Dornbirn,Vorarlberg,47.41427,9.74195,safe_active_exact_name_site_agreement
220,eu_framework,safe_active,AT,Austria,https://ror.org/03k7r0z51,Fachhochschule Wiener Neustadt,active,2761353,Wiener Neustadt,Lower Austria,47.80485,16.23196,safe_active_exact_name_site_agreement
221,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
222,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
223,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
224,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
225,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
226,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
227,eu_framework,unmatched,AT,Austria,,,,,,,,,unmatched
228,eu_framework,review,AT,Austria,,,,,,,,,held_review_site_only
